
-23.71,-12.15,0,37,U
-22.34,23.64,50,37,U
-1.22,10.42,100,37,U
1.27,-9.83,150,37,U
0.63,-9.02,200,37,U
12.19,-3.03,250,37,U
2.95,0.41,300,37,U
1.79,2.71,350,37,U
-13.29,-10.83,400,37,U
0.85,0.67,450,37,U
27.47,-64.15,0,38,U
7.53,-58.77,50,38,U
-2.61,-71.15,100,38,U
11.09,-92.29,150,38,U
-1.51,-74.63,200,38,U
7.62,-86.07,250,38,U
2.57,-60.51,300,38,U
18.86,-46.10,350,38,U
10.54,-33.11,400,38,U
5.09,-34.67,450,38,U
24.05,-39.66,0,39,U
16.97,-63.96,50,39,U
-2.88,-73.33,100,39,U
-7.27,-93.41,150,39,U
2.41,-70.22,200,39,U
21.52,-89.43,250,39,U
57.13,-103.35,300,39,U
22.09,-102.51,350,39,U
9.21,-33.32,400,39,U
23.27,4.65,450,39,U
1.63,4.66,0,40,U
7.02,14.29,50,40,U
-3.35,-8.73,100,40,U
1.67,-4.84,150,40,U
-102.51,-26.76,200,40,U
-62.83,-44.97,250,40,U
-9.34,-84.25,300,40,U
60.77,-189.40,350,40,U
66.43,-196.45,400,40,U
29.85,-149.55,450,40,U
-9.81,-83.67,0,41,U
-7.81,-99.76,50,41,U
12.96,-124.01,100,41,U
-12.80,-82.03,150,41,U
19.07,-46.93,200,41,U
11.47,-80.25,250,41,U
29.15,-81.47,300,41,U
34.69,-92.13,350,41,U
6.82,-93.90,400,41,U
15.09,-41.42,450,41,U
-9.01,-48.22,0,42,U
1.23,-55.05,50,42,U
15.45,-64.73,100,42,U
8.63,-73.90,150,42,U
31.54,-99.79,200,42,U
11.96,-104.31,250,42,U
25.56,-97.37,300,42,U
2.53,-98.96,350,42,U
-21.08,-97.31,400,42,U
-6.31,-86.89,450,42,U
-20.03,-153.63,0,43,U
12.26,-118.12,50,43,U
19.97,-99.95,100,43,U
14.60,-92.39,150,43,U
44.79,-81.77,200,43,U
22.65,-76.91,250,43,U
25.13,-97.77,300,43,U
-6.75,-73.51,350,43,U
3.13,-56.38,400,43,U
4.94,-18.54,450,43,U
-1.38,-9.49,0,44,U
-15.35,-37.87,50,44,U
-23.40,-91.20,100,44,U
-13.71,-95.49,150,44,U
12.45,-105.17,200,44,U
37.48,-71.91,250,44,U
-3.06,-108.10,300,44,U
17.17,-72.57,350,44,U
11.21,-129.89,400,44,U
26.57,-138.49,450,44,U
-82.41,-148.29,0,45,U
-8.20,-215.56,50,45,U
1.41,-105.25,100,45,U
21.91,-116.33,150,45,U
-32.76,-128.34,200,45,U
-54.32,-211.71,250,45,U
-32.69,-193.21,300,45,U
-10.31,-126.41,350,45,U
10.73,-41.01,400,45,U
3.94,13.47,450,45,U
-2.42,-55.25,0,46,U
7.03,-85.87,50,46,U
12.91,-91.13,100,46,U
32.16,-76.61,150,46,U
27.95,-116.16,200,46,U
2.89,-123.17,250,46,U
10.36,-120.72,300,46,U
-14.44,-92.43,350,46,U
11.33,-43.46,400,46,U
3.66,-15.16,450,46,U
49.75,-6.96,0,47,R
54.33,-9.89,50,47,R
83.80,-17.27,100,47,R
60.25,-8.27,150,47,R
83.75,-8.43,200,47,R
